localitate,email,latitudine,longitudine
Sângeorgiu de Pădure,mailto:office@sgpadure.ro,46.430277777,24.841666666
Chitila,mailto:primar@primariachitila.ro,44.517222222,25.975277777
Pantelimon,mailto:secretariat@primariapantelimon.ro,44.452777777,26.203611111
Galați,mailto:info544@primariagalati.ro,45.433611111,28.055277777
Arad,mailto:pma@primariaarad.ro,46.166666666,21.316666666
Alba Iulia,mailto:office@apulum.ro,46.076388888,23.572777777
Botoșani,mailto:primaria@primariabt.ro,47.748611111,26.669444444
Nehoiu,mailto:primarianehoiu@yahoo.com,45.4153188,26.3081609
Ploiești,mailto:comunicare@ploiesti.ro,44.941111111,26.0225
Pianu,mailto:primariacomuneipianu@yahoo.com,45.896111111,23.481944444
Baia Mare,mailto:primar@baiamare.ro,47.656666666,23.571944444
Satu Mare,mailto:primaria@primariasm.ro,47.79,22.89
Turceni,mailto:turceni@gj.e-adm.ro,44.67944444,23.37305556
Târgu Mureș,mailto:primaria@tirgumures.ro,46.549722222,24.559722222
Ocna Sibiului,mailto:primariaocna@yahoo.com,45.874722222,24.066666666
Bistrița,mailto:primaria@primariabistrita.ro,47.133333333,24.483333333
Pitești,mailto:primaria@primariapitesti.ro,44.866666666,24.883333333
Piatra-Neamț,mailto:infopn@primariapn.ro,46.9275,26.370833333
Brăila,mailto:pmb@pmbr.ro,45.269166666,27.9575
Târgoviște,mailto:primar@pmtgv.ro,44.924444444,25.457222222
Focșani,mailto:primarie@focsani.info,45.699722222,27.179722222
Vaslui,mailto:pmv@primariavaslui.ro,46.638333333,27.729166666
Râmnicu Vâlcea,mailto:primaria@primariavl.ro,45.104722222,24.375555555
Sighișoara,mailto:primaria@sighisoara.org.ro,46.216944444,24.791111111
Miercurea Ciuc,mailto:primaria@miercureaciuc.ro,46.359444444,25.803888888
Drobeta-Turnu Severin,mailto:primaria@primariadrobeta.ro,44.636111111,22.655555555
Miercurea Sibiului,mailto:primmsb@yahoo.com,45.883333333,23.783333333
Buzău,mailto:cabinet.primar@primariabuzau.ro,45.151666666,26.816666666
Giurgiu,mailto:primarie@primariagiurgiu.ro,43.9,25.966666666
Târgu Jiu,mailto:primaria.targujiu@xnet.ro,45.034166666,23.274722222
Sfântu Gheorghe,mailto:info@sepsi.ro,45.865277777,25.787777777
Roman,mailto:primar@primariaroman.ro,46.93,26.93
Zimnicea,mailto:primaria@orasulzimnicea.ro,43.653888888,25.365
Deva,mailto:primar@primariadeva.ro,45.871944444,22.911666666
Slatina,mailto:office@primariaslatina.ro,44.429722222,24.364166666
Zlatna,mailto:pr_zlatna@primariazlatna.ro,46.158888888,23.221111111
Borșa,mailto:uat@primariaborsamm.ro,47.655277777,24.663055555
Turda,mailto:contact@primariaturda.ro,46.566666666,23.783333333
Alexandria,mailto:primalex@alexandria.ro,43.968611111,25.333333333
Ștefănești,mailto:stefanesti@ag.e-adm.ro,44.8716933,24.9526897
Călărași,mailto:office@primariacalarasi.ro,44.2,27.333333333
Sinaia,mailto:contact@primaria-sinaia.ro,45.35,25.551388888
Hunedoara,mailto:info@primariahunedoara.ro,45.769722222,22.920277777
Slobozia,mailto:office@municipiulslobozia.ro,44.563888888,27.366111111
23 August,mailto:primar@primaria23august.ro,43.9167,28.58065
Buftea,mailto:contact@primariabuftea.ro,44.57,25.95
Eforie,mailto:secretariat@primariaeforie.ro,44.02528,28.65083
Almăj,mailto:primariaalmaj@gmail.com,44.45,23.7
Siret,mailto:primariasiret@siretromania.ro,47.95,26.06
Pucioasa,mailto:info@primpuc.ro,45.074166666,25.434166666
Balș,mailto:svsu@primariabals.eu,44.354166666,24.098611111
Piatra-Olt,mailto:primariapiatraolt@yahoo.com,44.360277777,24.294166666
Târgu Bujor,mailto:primariatgbujor@yahoo.com,45.866666666,27.9
Vălenii de Munte,mailto:primariavaleniidemunte@yahoo.com,45.185555555,26.039722222
Murfatlar,mailto:secretariat@primaria-murfatlar.ro,44.173611111,28.408333333
Ovidiu,mailto:primariaovidiu@gmail.com,44.27,28.56
Vișeu de Sus,mailto:primariaviseu@yahoo.com,47.711111111,24.426388888
Livezi,mailto:livezi@vl.e-adm.ro,44.85,23.816666666
Fetești,mailto:contact@primariafetesti.ro,44.415,27.823611111
Solca,mailto:primarie@solca.ro,47.7025,25.831666666
Bălăceanu,mailto:primariabalaceanu@gmail.com,45.266666666,27.15
Voinești,mailto:consiliullocalvoinesti@yahoo.com,45.080277777,25.245
Păcureți,mailto:primaria_pacureti@yahoo.com,45.141458,26.137372
Cândești,mailto:candesti_dambovita@yahoo.com,45.08333333,25.21666667
Fântânele,mailto:primariafantaneleph@yahoo.com,45.0,26.383333333
Caracal,mailto:Office@primariacaracal.ro,44.1,24.333333333
Alexandru Odobescu,mailto:primaria_alodobescu@yahoo.com,44.266666666,27.083333333
Pogoanele,mailto:primariepogoanele@yahoo.com,44.916666666,27.0
Lăpugiu de Jos,mailto:primar@primarialapugiudejos.ro,45.88638889,22.48111111
Luncoiu de Jos,mailto:primarialuncoiudejos@yahoo.com,46.082222222,22.786388888
Lunca Cernii de Jos,mailto:primaria.luncacerniidejos@gmail.com,45.63833333,22.61472222
Fieni,mailto:primaria.fieni@fieni.ro,45.122222222,25.418333333
Bărcănești,mailto:primaria.ph@barcanesti.ro,44.883333333,26.05
Tălmaciu,mailto:primaria@talmaciu.ro,45.666666666,24.261111111
Teliucu Inferior,mailto:primariateliuc@gmail.com,45.71777778,22.88694444
Urziceni,mailto:primaria@primaria-urziceni.ro,44.718055555,26.645277777
Vața de Jos,mailto:primariavata@gmail.com,46.1775,22.59666667
Banca,mailto:primaria_banca2012@yahoo.ro,46.3470305,27.7864231
Moreni,mailto:contact@primariamoreni.ro,44.980277777,25.644444444
Medgidia,mailto:office@primaria-medgidia.ro,44.250277777,28.261388888
Făgăraș,mailto:secretariat@primaria-fagaras.ro,45.842222222,24.971388888
Brazi,mailto:relatiicupublicul@pcbrazi.ro,44.883333333,26.0
Sector 4,mailto:contact@ps4.ro,44.43527778,26.10277778
Hârșova,mailto:secretariat@primaria-harsova.ro,44.683333333,27.951944444
Huedin,mailto:secretariat@primariahuedin.ro,46.8737583,23.0041212
Marghita,mailto:primaria@marghita.ro,47.35,22.333333333
Vatra Dornei,mailto:primaria@vatra-dornei.ro,47.35,25.366666666
Orșova,mailto:primariaorsova@primariaorsova.ro,44.725277777,22.396111111
Plopeni,mailto:contact@primariaplopeni.ro,45.0458318,25.9535975
Cristian,mailto:contact@primariacristian.ro,45.6286,25.4833
Slănic-Moldova,mailto:primaria@primariaslanicmoldova.ro,46.2066318,26.438397
Perieți,mailto:primariaperieti@yahoo.com,44.565833333,27.240833333
Bârca,mailto:primaria.barca@yahoo.ro,43.983333333,23.633333333
Valea lui Mihai,mailto:primaria@valealuimihai.ro,47.52,22.13
Salcea,mailto:postmaster@primariasalcea.ro,47.65,26.37
Bechet,mailto:bechet@cjdolj.ro,43.780330555,23.9568
Faraoani,mailto:primaria@comunafaraoani.ro,46.43333333,26.9
Lugoj,mailto:contact@primarialugoj.ro,45.686111111,21.900555555
Orăștie,mailto:primaria@orastie.info.ro,45.840277777,23.199444444
Bușteni,mailto:uatobusteni@gmail.com,45.415277777,25.5375
Sovata,mailto:secretariat@primariasovata.ro,46.596111111,25.074444444
Amărăștii de Sus,mailto:amarastii_de_sus@cjdolj.ro,43.966666666,24.162777777
Cenei,mailto:primaria.cenei@cjtimis.ro,45.71583333,20.90388889
Dej,mailto:primaria@dej.ro,47.141388888,23.876388888
Roznov,mailto:roznov@primariaroznov.ro,46.835555555,26.511666666
Fierbinți-Târg,mailto:primariafierbinti@yahoo.com,44.683333333,26.383333333
Cajvana,mailto:primaria_cajvana@yahoo.com,47.704444444,25.969444444
Băbeni,mailto:babeni@vl.e-adm.ro,44.975,24.231111111
Șomcuta Mare,mailto:primariasomcutamare@gmail.com,47.516666666,23.466666666
Flămânzi,mailto:orasflamanzi@yahoo.com,47.56444444,26.87277778
Sântana,mailto:contact@primariasantana.ro,46.35,21.5
Podu Iloaiei,mailto:podu_iloaiei@yahoo.com,47.216666666,27.266666666
Răcari,mailto:contact@primariaracari.ro,44.633333333,25.733333333
Ardud,mailto:primaria@orasardud.ro,47.633333333,22.883333333
Murgeni,mailto:secretariat@primaria-murgeni.ro,46.2,28.016666666
Amara,mailto:consiliullocalamara@yahoo.com,44.62,27.32
Băneasa,mailto:secretariat@primaria-baneasa.ro,44.06333333,27.70166667
