localitate,email,latitudine,longitudine,domeniu
Pitești,mailto:primaria@primariapitesti.ro,44.866666666,24.883333333,primariapitesti.ro
Piatra-Neamț,mailto:infopn@primariapn.ro,46.9275,26.370833333,primariapn.ro
Brăila,mailto:pmb@pmbr.ro,45.269166666,27.9575,pmbr.ro
Târgoviște,mailto:primar@pmtgv.ro,44.924444444,25.457222222,pmtgv.ro
Focșani,mailto:primarie@focsani.info,45.699722222,27.179722222,focsani.info
Vaslui,mailto:pmv@primariavaslui.ro,46.638333333,27.729166666,primariavaslui.ro
Râmnicu Vâlcea,mailto:primaria@primariavl.ro,45.104722222,24.375555555,primariavl.ro
Sighișoara,mailto:primaria@sighisoara.org.ro,46.216944444,24.791111111,sighisoara.org.ro
Miercurea Ciuc,mailto:primaria@miercureaciuc.ro,46.359444444,25.803888888,miercureaciuc.ro
Drobeta-Turnu Severin,mailto:primaria@primariadrobeta.ro,44.636111111,22.655555555,primariadrobeta.ro
Miercurea Sibiului,mailto:primmsb@yahoo.com,45.883333333,23.783333333,yahoo.com
Buzău,mailto:cabinet.primar@primariabuzau.ro,45.151666666,26.816666666,primariabuzau.ro
Giurgiu,mailto:primarie@primariagiurgiu.ro,43.9,25.966666666,primariagiurgiu.ro
Târgu Jiu,mailto:primaria.targujiu@xnet.ro,45.034166666,23.274722222,xnet.ro
Sfântu Gheorghe,mailto:info@sepsi.ro,45.865277777,25.787777777,sepsi.ro
Roman,mailto:primar@primariaroman.ro,46.93,26.93,primariaroman.ro
Zimnicea,mailto:primaria@orasulzimnicea.ro,43.653888888,25.365,orasulzimnicea.ro
Deva,mailto:primar@primariadeva.ro,45.871944444,22.911666666,primariadeva.ro
Slatina,mailto:office@primariaslatina.ro,44.429722222,24.364166666,primariaslatina.ro
Zlatna,mailto:pr_zlatna@primariazlatna.ro,46.158888888,23.221111111,primariazlatna.ro
Borșa,mailto:uat@primariaborsamm.ro,47.655277777,24.663055555,primariaborsamm.ro
Turda,mailto:contact@primariaturda.ro,46.566666666,23.783333333,primariaturda.ro
Alexandria,mailto:primalex@alexandria.ro,43.968611111,25.333333333,alexandria.ro
Ștefănești,mailto:stefanesti@ag.e-adm.ro,44.8716933,24.9526897,ag.e-adm.ro
Călărași,mailto:office@primariacalarasi.ro,44.2,27.333333333,primariacalarasi.ro
Sinaia,mailto:contact@primaria-sinaia.ro,45.35,25.551388888,primaria-sinaia.ro
Hunedoara,mailto:info@primariahunedoara.ro,45.769722222,22.920277777,primariahunedoara.ro
Slobozia,mailto:office@municipiulslobozia.ro,44.563888888,27.366111111,municipiulslobozia.ro
23 August,mailto:primar@primaria23august.ro,43.9167,28.58065,primaria23august.ro
Buftea,mailto:contact@primariabuftea.ro,44.57,25.95,primariabuftea.ro
Eforie,mailto:secretariat@primariaeforie.ro,44.02528,28.65083,primariaeforie.ro
Almăj,mailto:primariaalmaj@gmail.com,44.45,23.7,gmail.com
Siret,mailto:primariasiret@siretromania.ro,47.95,26.06,siretromania.ro
Pucioasa,mailto:info@primpuc.ro,45.074166666,25.434166666,primpuc.ro
Balș,mailto:svsu@primariabals.eu,44.354166666,24.098611111,primariabals.eu
Piatra-Olt,mailto:primariapiatraolt@yahoo.com,44.360277777,24.294166666,yahoo.com
Târgu Bujor,mailto:primariatgbujor@yahoo.com,45.866666666,27.9,yahoo.com
Vălenii de Munte,mailto:primariavaleniidemunte@yahoo.com,45.185555555,26.039722222,yahoo.com
Murfatlar,mailto:secretariat@primaria-murfatlar.ro,44.173611111,28.408333333,primaria-murfatlar.ro
Ovidiu,mailto:primariaovidiu@gmail.com,44.27,28.56,gmail.com
Vișeu de Sus,mailto:primariaviseu@yahoo.com,47.711111111,24.426388888,yahoo.com
Livezi,mailto:livezi@vl.e-adm.ro,44.85,23.816666666,vl.e-adm.ro
Fetești,mailto:contact@primariafetesti.ro,44.415,27.823611111,primariafetesti.ro
Solca,mailto:primarie@solca.ro,47.7025,25.831666666,solca.ro
Bălăceanu,mailto:primariabalaceanu@gmail.com,45.266666666,27.15,gmail.com
Voinești,mailto:consiliullocalvoinesti@yahoo.com,45.080277777,25.245,yahoo.com
Păcureți,mailto:primaria_pacureti@yahoo.com,45.141458,26.137372,yahoo.com
Cândești,mailto:candesti_dambovita@yahoo.com,45.08333333,25.21666667,yahoo.com
Fântânele,mailto:primariafantaneleph@yahoo.com,45.0,26.383333333,yahoo.com
Caracal,mailto:Office@primariacaracal.ro,44.1,24.333333333,primariacaracal.ro
Alexandru Odobescu,mailto:primaria_alodobescu@yahoo.com,44.266666666,27.083333333,yahoo.com
Pogoanele,mailto:primariepogoanele@yahoo.com,44.916666666,27.0,yahoo.com
Lăpugiu de Jos,mailto:primar@primarialapugiudejos.ro,45.88638889,22.48111111,primarialapugiudejos.ro
Luncoiu de Jos,mailto:primarialuncoiudejos@yahoo.com,46.082222222,22.786388888,yahoo.com
Lunca Cernii de Jos,mailto:primaria.luncacerniidejos@gmail.com,45.63833333,22.61472222,gmail.com
Fieni,mailto:primaria.fieni@fieni.ro,45.122222222,25.418333333,fieni.ro
Bărcănești,mailto:primaria.ph@barcanesti.ro,44.883333333,26.05,barcanesti.ro
Tălmaciu,mailto:primaria@talmaciu.ro,45.666666666,24.261111111,talmaciu.ro
Teliucu Inferior,mailto:primariateliuc@gmail.com,45.71777778,22.88694444,gmail.com
Urziceni,mailto:primaria@primaria-urziceni.ro,44.718055555,26.645277777,primaria-urziceni.ro
Vața de Jos,mailto:primariavata@gmail.com,46.1775,22.59666667,gmail.com
Banca,mailto:primaria_banca2012@yahoo.ro,46.3470305,27.7864231,yahoo.ro
Moreni,mailto:contact@primariamoreni.ro,44.980277777,25.644444444,primariamoreni.ro
Medgidia,mailto:office@primaria-medgidia.ro,44.250277777,28.261388888,primaria-medgidia.ro
Făgăraș,mailto:secretariat@primaria-fagaras.ro,45.842222222,24.971388888,primaria-fagaras.ro
Brazi,mailto:relatiicupublicul@pcbrazi.ro,44.883333333,26.0,pcbrazi.ro
Sector 4,mailto:contact@ps4.ro,44.43527778,26.10277778,ps4.ro
Hârșova,mailto:secretariat@primaria-harsova.ro,44.683333333,27.951944444,primaria-harsova.ro
Huedin,mailto:secretariat@primariahuedin.ro,46.8737583,23.0041212,primariahuedin.ro
Marghita,mailto:primaria@marghita.ro,47.35,22.333333333,marghita.ro
Vatra Dornei,mailto:primaria@vatra-dornei.ro,47.35,25.366666666,vatra-dornei.ro
Orșova,mailto:primariaorsova@primariaorsova.ro,44.725277777,22.396111111,primariaorsova.ro
Plopeni,mailto:contact@primariaplopeni.ro,45.0458318,25.9535975,primariaplopeni.ro
Cristian,mailto:contact@primariacristian.ro,45.6286,25.4833,primariacristian.ro
Slănic-Moldova,mailto:primaria@primariaslanicmoldova.ro,46.2066318,26.438397,primariaslanicmoldova.ro
Perieți,mailto:primariaperieti@yahoo.com,44.565833333,27.240833333,yahoo.com
Bârca,mailto:primaria.barca@yahoo.ro,43.983333333,23.633333333,yahoo.ro
Valea lui Mihai,mailto:primaria@valealuimihai.ro,47.52,22.13,valealuimihai.ro
Salcea,mailto:postmaster@primariasalcea.ro,47.65,26.37,primariasalcea.ro
Bechet,mailto:bechet@cjdolj.ro,43.780330555,23.9568,cjdolj.ro
Faraoani,mailto:primaria@comunafaraoani.ro,46.43333333,26.9,comunafaraoani.ro
Lugoj,mailto:contact@primarialugoj.ro,45.686111111,21.900555555,primarialugoj.ro
Orăștie,mailto:primaria@orastie.info.ro,45.840277777,23.199444444,orastie.info.ro
Bușteni,mailto:uatobusteni@gmail.com,45.415277777,25.5375,gmail.com
Sovata,mailto:secretariat@primariasovata.ro,46.596111111,25.074444444,primariasovata.ro
Amărăștii de Sus,mailto:amarastii_de_sus@cjdolj.ro,43.966666666,24.162777777,cjdolj.ro
Cenei,mailto:primaria.cenei@cjtimis.ro,45.71583333,20.90388889,cjtimis.ro
Dej,mailto:primaria@dej.ro,47.141388888,23.876388888,dej.ro
Roznov,mailto:roznov@primariaroznov.ro,46.835555555,26.511666666,primariaroznov.ro
Fierbinți-Târg,mailto:primariafierbinti@yahoo.com,44.683333333,26.383333333,yahoo.com
Cajvana,mailto:primaria_cajvana@yahoo.com,47.704444444,25.969444444,yahoo.com
Băbeni,mailto:babeni@vl.e-adm.ro,44.975,24.231111111,vl.e-adm.ro
Șomcuta Mare,mailto:primariasomcutamare@gmail.com,47.516666666,23.466666666,gmail.com
Flămânzi,mailto:orasflamanzi@yahoo.com,47.56444444,26.87277778,yahoo.com
Sântana,mailto:contact@primariasantana.ro,46.35,21.5,primariasantana.ro
Podu Iloaiei,mailto:podu_iloaiei@yahoo.com,47.216666666,27.266666666,yahoo.com
Răcari,mailto:contact@primariaracari.ro,44.633333333,25.733333333,primariaracari.ro
Ardud,mailto:primaria@orasardud.ro,47.633333333,22.883333333,orasardud.ro
Murgeni,mailto:secretariat@primaria-murgeni.ro,46.2,28.016666666,primaria-murgeni.ro
Amara,mailto:consiliullocalamara@yahoo.com,44.62,27.32,yahoo.com
Băneasa,mailto:secretariat@primaria-baneasa.ro,44.06333333,27.70166667,primaria-baneasa.ro
