localitate,email,latitudine,longitudine,domeniu,inregistrari_mx,inregistrare_spf
Piatra-Neamț,mailto:infopn@primariapn.ro,46.9275,26.370833333,primariapn.ro,20 mail2.primariapn.ro; 10 mail.primariapn.ro,v=spf1 a mx ptr a:mail.primariapn.ro a:mail2.primariapn.ro mx:mail.primariapn.ro mx:mail2.primariapn.ro ip4:109.103.187.214 ip4:89.121.95.254 -all
Brăila,mailto:pmb@pmbr.ro,45.269166666,27.9575,pmbr.ro,10 box.pmbr.ro,v=spf1 mx -all
Târgoviște,mailto:primar@pmtgv.ro,44.924444444,25.457222222,pmtgv.ro,10 mail.pmtgv.ro,v=spf1 a mx ip4:93.122.157.106 ~all
Focșani,mailto:primarie@focsani.info,45.699722222,27.179722222,focsani.info,10 mx1.mydomain.ro; 100 mx2.mydomain.ro,v=spf1 a mx include:spfc50.megamailservers.com include:verticalresponse.com ~all
Vaslui,mailto:pmv@primariavaslui.ro,46.638333333,27.729166666,primariavaslui.ro,30 filter30.antispamcloud.com; 10 filter10.antispamcloud.com; 40 filter40.antispamcloud.com; 20 filter20.antispamcloud.com,v=spf1 ip4:89.40.196.44 ip4:89.40.196.165 +a +mx +ip4:89.40.196.182 +ip4:89.40.196.173 +include:spf.antispamcloud.com -all
Râmnicu Vâlcea,mailto:primaria@primariavl.ro,45.104722222,24.375555555,primariavl.ro,10 mx2.stsmail.ro; 10 mx1.stsmail.ro,v=spf1 mx ip4:193.151.29.160/27 include:stsmail.ro ~all
Sighișoara,mailto:primaria@sighisoara.org.ro,46.216944444,24.791111111,sighisoara.org.ro,5 mx01.sobis.ro,v=spf1 a mx  include:mx01.sobis.ro  ip4:91.212.23.10 ip4:91.212.23.31 ~all
Miercurea Ciuc,mailto:primaria@miercureaciuc.ro,46.359444444,25.803888888,miercureaciuc.ro,0 miercureaciuc-ro.mail.protection.outlook.com,v=spf1 +a +mx +ip4:213.177.9.146 +ip4:213.177.9.147 +ip4:213.177.9.149  include:spf.protection.outlook.com -all
Drobeta-Turnu Severin,mailto:primaria@primariadrobeta.ro,44.636111111,22.655555555,primariadrobeta.ro,10 mx01.whmpanels.com,v=spf1 include:relay.romarg.net ip4:136.255.141.86/32 -all
Miercurea Sibiului,mailto:primmsb@yahoo.com,45.883333333,23.783333333,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Buzău,mailto:cabinet.primar@primariabuzau.ro,45.151666666,26.816666666,primariabuzau.ro,0 mail.primariabuzau.ro; 30 secondary.primariabuzau.ro; 10 sediu.primariabuzau.ro,v=spf1 +mx +a +ip4:84.232.181.160 +ip4:86.126.95.190/28 +ip4:213.177.27.235 ~all
Giurgiu,mailto:primarie@primariagiurgiu.ro,43.9,25.966666666,primariagiurgiu.ro,0 mx.primariagiurgiu.ro,v=spf1 ip4:136.243.36.55 +a +mx +ip4:146.70.56.162 +ip4:146.70.56.164 +ip4:162.55.89.60 ~all
Târgu Jiu,mailto:primaria.targujiu@xnet.ro,45.034166666,23.274722222,xnet.ro,10 mx1.mydomain.ro,
Sfântu Gheorghe,mailto:info@sepsi.ro,45.865277777,25.787777777,sepsi.ro,10 mail.sepsi.ro,v=spf1 mx -all
Roman,mailto:primar@primariaroman.ro,46.93,26.93,primariaroman.ro,5 mail.primariaroman.ro,v=spf1 ip4:5.2.249.55 +a +mx +include:hosting.primariaroman.ro ~all
Zimnicea,mailto:primaria@orasulzimnicea.ro,43.653888888,25.365,orasulzimnicea.ro,20 spamguard2.mxserver.ro; 10 spamguard1.mxserver.ro,v=spf1 ip4:94.176.104.252 +a +mx +ip4:176.223.121.46 +ip4:95.214.134.175 ~all
Deva,mailto:primar@primariadeva.ro,45.871944444,22.911666666,primariadeva.ro,5 mail.primariadeva.ro,v=spf1 mx a ip4:86.126.64.50 -all
Slatina,mailto:office@primariaslatina.ro,44.429722222,24.364166666,primariaslatina.ro,10 m.primariaslatina.ro,v=spf1 a mx a:m.primariaslatina.ro a:mail.primariaslatina.ro ip4:82.77.212.225 ip4:188.27.7.56 ip4:79.118.154.9 ip4:188.27.7.35 -all
Zlatna,mailto:pr_zlatna@primariazlatna.ro,46.158888888,23.221111111,primariazlatna.ro,0 primariazlatna-ro.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all
Borșa,mailto:uat@primariaborsamm.ro,47.655277777,24.663055555,primariaborsamm.ro,0 primariaborsamm.ro,v=spf1 +a +mx +ip4:86.107.43.90 +ip4:188.214.214.72 +ip4:212.146.84.119 +mx:primariaborsamm.ro -all
Turda,mailto:contact@primariaturda.ro,46.566666666,23.783333333,primariaturda.ro,20 cloudmail02.clausweb.ro; 10 cloudmail01.clausweb.ro; 30 cloudmail03.clausweb.ro; 40 cloudmail04.clausweb.ro,v=spf1 +a +mx +ip4:176.126.172.166 +ip4:185.146.87.156 +a:cloudsmtp.clausweb.ro ~all
Alexandria,mailto:primalex@alexandria.ro,43.968611111,25.333333333,alexandria.ro,20 mx02.whmpanels.com; 30 mx03.whmpanels.com; 10 mx01.whmpanels.com,v=spf1 include:relay.romarg.net -all
Ștefănești,mailto:stefanesti@ag.e-adm.ro,44.8716933,24.9526897,ag.e-adm.ro,10 mx2.stsmail.ro; 10 mx1.stsmail.ro,v=spf1 mx ip4:193.151.29.160/27 include:stsmail.ro ~all
Călărași,mailto:office@primariacalarasi.ro,44.2,27.333333333,primariacalarasi.ro,10 mail.primariacalarasi.ro,v=spf1 a mx ip4:89.35.158.6  a:mails.primariacalarasi.ro a:vs.primariacalarasi.ro  a:mx1.primariacalarasi.ro -all
Sinaia,mailto:contact@primaria-sinaia.ro,45.35,25.551388888,primaria-sinaia.ro,0 primaria-sinaia.ro,v=spf1 +mx +a +ip4:89.33.237.186 -all
Hunedoara,mailto:info@primariahunedoara.ro,45.769722222,22.920277777,primariahunedoara.ro,0 primariahunedoara.ro,v=spf1 +a +mx +ip4:88.198.169.148 +ip4:116.202.251.218 +ip4:88.198.169.136 +ip4:88.198.169.137 ~all
Slobozia,mailto:office@municipiulslobozia.ro,44.563888888,27.366111111,municipiulslobozia.ro,10 mx2.stsmail.ro; 10 mx1.stsmail.ro,v=spf1 mx ip4:193.151.29.160/27 include:stsmail.ro ~all
23 August,mailto:primar@primaria23august.ro,43.9167,28.58065,primaria23august.ro,10 de.soft-manager.ro,v=spf1 ip4:51.75.145.92 ip4:51.89.153.65 ip4:198.244.204.40/30 ip4:198.244.218.88/30 ip6:2001:41d0:800:1f41:: ip6:2001:41d0:700:1e5c:: -all
Buftea,mailto:contact@primariabuftea.ro,44.57,25.95,primariabuftea.ro,5 mail.primariabuftea.ro,v=spf1 ip4:86.107.234.238 +a +mx +ip4:86.107.234.218 +ip4:81.180.226.98 +ip4:188.215.112.13 +ip4:86.107.234.94 ~all
Eforie,mailto:secretariat@primariaeforie.ro,44.02528,28.65083,primariaeforie.ro,0 primariaeforie-ro.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com ip4:89.43.139.130 ~all
Almăj,mailto:primariaalmaj@gmail.com,44.45,23.7,gmail.com,30 alt3.gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Siret,mailto:primariasiret@siretromania.ro,47.95,26.06,siretromania.ro,10 spamguard1.mxserver.ro; 20 spamguard2.mxserver.ro,v=spf1 ip4:89.46.7.250 ip4:176.223.127.45 +a +mx include:spf.mxserver.ro +ip4:176.223.126.56 +ip4:89.44.120.243 ~all
Pucioasa,mailto:info@primpuc.ro,45.074166666,25.434166666,primpuc.ro,0 primpuc.ro,v=spf1 +a +mx +ip4:5.9.89.236 include:spf.mxserver.ro ~all
Balș,mailto:svsu@primariabals.eu,44.354166666,24.098611111,primariabals.eu,10 mx01.whmpanels.com; 20 mx02.whmpanels.com; 30 mx03.whmpanels.com,v=spf1 include:relay.romarg.net -all
Piatra-Olt,mailto:primariapiatraolt@yahoo.com,44.360277777,24.294166666,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Târgu Bujor,mailto:primariatgbujor@yahoo.com,45.866666666,27.9,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Vălenii de Munte,mailto:primariavaleniidemunte@yahoo.com,45.185555555,26.039722222,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Murfatlar,mailto:secretariat@primaria-murfatlar.ro,44.173611111,28.408333333,primaria-murfatlar.ro,0 primaria-murfatlar.ro,v=spf1 +a +mx +ip4:89.46.7.181 include:spf.mxserver.ro +ip4:176.126.201.150 +ip4:176.126.200.227 +ip4:176.126.201.6 ~all
Ovidiu,mailto:primariaovidiu@gmail.com,44.27,28.56,gmail.com,20 alt2.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Vișeu de Sus,mailto:primariaviseu@yahoo.com,47.711111111,24.426388888,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Livezi,mailto:livezi@vl.e-adm.ro,44.85,23.816666666,vl.e-adm.ro,10 mx2.stsmail.ro; 10 mx1.stsmail.ro,v=spf1 mx ip4:193.151.29.160/27 include:stsmail.ro ~all
Fetești,mailto:contact@primariafetesti.ro,44.415,27.823611111,primariafetesti.ro,10 hosting2008221.online.pro,v=spf1 mx a ptr ~all
Solca,mailto:primarie@solca.ro,47.7025,25.831666666,solca.ro,10 mail.solca.ro; 20 mailo.solca.ro,v=spf1 ip4:85.186.22.7 include:_spf.google.com ~all
Bălăceanu,mailto:primariabalaceanu@gmail.com,45.266666666,27.15,gmail.com,40 alt4.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Voinești,mailto:consiliullocalvoinesti@yahoo.com,45.080277777,25.245,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Păcureți,mailto:primaria_pacureti@yahoo.com,45.141458,26.137372,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Cândești,mailto:candesti_dambovita@yahoo.com,45.08333333,25.21666667,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Fântânele,mailto:primariafantaneleph@yahoo.com,45.0,26.383333333,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Caracal,mailto:Office@primariacaracal.ro,44.1,24.333333333,primariacaracal.ro,10 mail.primariacaracal.ro,v=spf1 ip4:79.119.80.83 mx -all
Alexandru Odobescu,mailto:primaria_alodobescu@yahoo.com,44.266666666,27.083333333,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Pogoanele,mailto:primariepogoanele@yahoo.com,44.916666666,27.0,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Lăpugiu de Jos,mailto:primar@primarialapugiudejos.ro,45.88638889,22.48111111,primarialapugiudejos.ro,,
Luncoiu de Jos,mailto:primarialuncoiudejos@yahoo.com,46.082222222,22.786388888,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Lunca Cernii de Jos,mailto:primaria.luncacerniidejos@gmail.com,45.63833333,22.61472222,gmail.com,20 alt2.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Fieni,mailto:primaria.fieni@fieni.ro,45.122222222,25.418333333,fieni.ro,0 fieni.ro,v=spf1 +a +mx +ip4:37.143.170.30 +ip4:37.143.164.173 include:_netblock.opticnet.ro ~all
Bărcănești,mailto:primaria.ph@barcanesti.ro,44.883333333,26.05,barcanesti.ro,0 barcanesti-ro.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all
Tălmaciu,mailto:primaria@talmaciu.ro,45.666666666,24.261111111,talmaciu.ro,30 aspmx2.google.com; 10 aspmx.l.google.com; 20 alt2.aspmx.l.google.com; 30 aspmx4.google.com; 30 aspmx5.google.com; 30 aspmx3.google.com; 20 alt1.aspmx.l.google.com,v=spf1 include:_spf.talmaciu_ro._d.easydmarc.pro ~all
Teliucu Inferior,mailto:primariateliuc@gmail.com,45.71777778,22.88694444,gmail.com,20 alt2.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Urziceni,mailto:primaria@primaria-urziceni.ro,44.718055555,26.645277777,primaria-urziceni.ro,30 mx03.whmpanels.com; 20 mx02.whmpanels.com; 10 mx01.whmpanels.com,v=spf1 include:relay.romarg.net -all
Vața de Jos,mailto:primariavata@gmail.com,46.1775,22.59666667,gmail.com,40 alt4.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Banca,mailto:primaria_banca2012@yahoo.ro,46.3470305,27.7864231,yahoo.ro,10 mx-eu.mail.am0.yahoodns.net,v=spf1 redirect=_spf.mail.yahoo.com
